ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent
07280;2013-05-30T20:00:00+02:00;100890;10;3;150;1.5;285.25;281.55;78;60000;0;;;;;2250;;;;98200;;;;281.250000;;286.850000;;;;;;3.600000;-10;;0.000000;;;0.0;0.0;;3.0;;710.000000;1104.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;3;;0
07280;2013-06-05T05:00:00+02:00;101620;-40;7;350;2.1;284.65;280.95;78;55000;0;;;;;;;;;98910;;;;;;;;;;;;3.600000;-10;;0.000000;;;0.0;0.0;;;;710.000000;1104.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;7;;0
07280;2013-06-08T05:00:00+02:00;101550;-60;6;340;1.5;287.15;283.95;81;35000;0;;;;;;;;;98870;;;;;;;;;;;;3.100000;-10;;0.000000;;;0.0;0.0;;;;710.000000;1103.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;6;;0
07280;2013-07-06T05:00:00+02:00;102590;-100;6;360;3.6;288.65;286.45;87;30000;0;;;;;;;;;99890;;;;;;;;;;;;5.100000;-10;;0.000000;;;0.0;0.0;;;;710.000000;1105.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;6;;0
07280;2013-07-01T02:00:00+02:00;102200;-90;8;340;2.1;284.95;282.65;86;35000;0;;;;;;;;;99480;;;;;;;;;;;;2.100000;-10;;;;;0.0;0.0;0.0;;;710.000000;1102.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;8;;0
07280;2013-08-19T02:00:00+02:00;101570;-40;8;330;1.5;292.05;287.95;77;45000;0;;;100;;;;;;98930;;;;;;;;;;;;3.100000;-10;;0.000000;;;0.0;0.0;0.0;;;710.000000;1103.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;8;;0
07280;2013-08-19T11:00:00+02:00;101850;220;2;280;5.7;294.65;286.25;59;50000;0;;;;;800;;;;99230;;;;;;;;;;;;9.300000;-10;;0.000000;;;0.0;0.0;;;;710.000000;1109.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;2;;0
07280;2013-08-14T20:00:00+02:00;102220;-20;5;30;3.6;294.35;280.25;40;35000;0;;;;;;;;;99580;;;;286.350000;;295.850000;;;;;;7.700000;-10;;0.000000;;;0.0;0.0;;0.0;;710.000000;1108.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;5;;0
07280;2013-08-15T08:00:00+02:00;102340;40;3;360;1.5;286.05;282.15;77;45000;0;;;;;;;;;99620;;;;283.950000;;294.350000;;283.150000;;;;3.100000;-10;0;0.000000;;;0.0;0.0;;0.0;0.0;710.000000;1103.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;3;;0
07280;2013-09-29T08:00:00+02:00;100420;0;5;40;2.6;288.05;287.45;96;5000;0;;;100;;2250;;;;97780;;;;286.850000;;292.750000;;286.150000;;;;4.100000;-10;1;0.000000;;;0.0;0.0;;0.2;0.2;710.000000;1104.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;5;;0
07280;2013-09-30T14:00:00+02:00;100510;-20;8;160;1.5;292.05;288.55;80;15000;0;;;100;;450;;;;97900;;;;;;;;;;;;3.100000;-10;;0.000000;;;0.0;0.0;0.0;;;710.000000;1103.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;8;;0
07280;2013-10-29T22:00:00+01:00;102220;110;3;210;0.5;279.05;277.55;90;19000;0;;;;;1750;;;;99440;;;;;;;;;;;;2.100000;-10;;0.000000;;;0.0;0.0;;;;710.000000;1102.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;3;;0
07280;2013-11-06T16:00:00+01:00;101350;110;3;200;6.2;287.25;284.45;83;55000;0;;;100;;800;;;;98670;;;;;;;;;;;;10.800000;-10;;0.000000;;;0.0;0.0;;;;710.000000;1111.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;3;;0
07280;2013-11-06T01:00:00+01:00;100760;260;1;240;4.6;284.15;280.25;77;55000;0;;;100;;800;;;;98070;;;;;;;;;;;;8.700000;-10;;0.000000;;;0.0;0.0;0.0;;;710.000000;1109.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;1;;0
07280;2013-11-06T10:00:00+01:00;101060;220;3;210;3.1;288.25;285.95;86;40000;0;;;;;800;;;;98400;;;;;;;;;;;;8.200000;-10;;;;;0.0;0.2;;;;710.000000;1108.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;3;;0
